id_vacuna,id_paciente,id_vet,fecha_aplicacion,nombre_vacuna,proxima_dosis
VAC001,P001,V001,2025-10-05,Antirrabica,2026-10-05
VAC002,P001,V001,2025-10-05,Sextuple,2026-10-05
VAC003,P002,V001,2025-08-20,Triple Felina,2026-08-20
VAC004,P005,V005,2025-11-10,Antirrabica,2026-11-10
VAC005,P007,V005,2025-07-14,Sextuple,2026-07-14
VAC006,P006,V003,2025-11-18,Triple Felina,2026-11-18
VAC007,P009,V006,2025-04-05,Antirrabica,2026-04-05
VAC008,P010,V008,2025-04-18,Triple Felina,2026-04-18
VAC009,P011,V007,2025-05-03,Sextuple,2026-05-03
VAC010,P012,V009,2025-05-07,Antiparasitaria,2026-05-07
VAC011,P013,V010,2025-05-12,Triple Felina,2026-11-12
VAC012,P014,V011,2025-05-15,Antirrabica,2026-05-15
VAC013,P015,V012,2025-05-20,Viruela Aviar,2026-11-20
VAC014,P016,V013,2025-05-23,Triple Felina,2026-05-23
VAC015,P004,V014,2025-05-26,Mixta Conejos,2026-11-26
VAC016,P008,V015,2025-05-29,Antiparasitaria Aves,2026-12-29
